cb_code;cb_codeext;cb_abandon;cb_perirec;cb_etiquet;cb_nd1;cb_nd2;cb_bp1;cb_ba1;cb_bp2;cb_ba2;cb_r1_code;cb_r2_code;cb_r3_code;cb_fo_type;cb_prop;cb_gest;cb_proptyp;cb_statut;cb_dateins;cb_avct;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_cabphy;cb_lgreel;cb_r4_code;cb_user;cb_etat;cb_datemes;cb_tech;cb_diam;cb_color;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CR000025484431;25484431;0;;PBO-SRO-BPI-11363897-007-1-CT-2536-7199-1;SU000000870123;IM00000000000000000000000ID-30117000001G;BL000008026395;;PTO00025484431;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-10-16 11-11-11;S;C;RA;CR000000000304;1;;;1;25484431;23.95;;;;;;;;;;;;;;
CR000025553871;25553871;0;;PBO-SRO-BPI-11363897-062-1-CT-2537-0334-1;SU000000880663;IM00000000000000000000000ID-30117000000R;BL000008028048;;PTO00025553871;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-10-30 11-11-11;S;C;RA;CR000000000304;1;;;1;25553871;13.57;;;;;;;;;;;;;;
CR000033527511;33527511;0;;PBO-SRO-BPI-11363897-034-3-CT-2536-8695-1;CH000004317426;IM00000000000000000000000ID-30117000005E;BL000008028031;;PTO00033527511;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-02-27 11-11-11;S;C;RA;CR000000000304;1;;;1;33527511;35.27;;;;;;;;;;;;;;
CR000019416901;19416901;0;;BE-02-117738031-4-WI-2656-5902-1;IM00000000000000000000000ID-301170000006;IM00000000000000000000000ID-301170000006;BL000008202713;;PTO00019416901;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-09-14 11-11-11;E;C;RA;CR000000000304;1;;;1;19416901;35;;;;;;;;;;;;;;
CR000013734441;13734441;0;;PBO-SRO-BPI-11363897-022-2-CT-2536-7628-1;HU000013029986;IM00000000000000000000000ID-30117000001O;BL000008027991;;PTO00013734441;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-06-22 11-11-11;E;C;RA;CR000000000304;1;;;1;13734441;9.15;;;;;;;;;;;;;;
CR000033647281;33647281;0;;PBO-SRO-BPI-11363897-029-2-CT-2536-8277-1;CH000004317428;IM00000000000000000000000ID-301170000029;BL000008028037;;PTO00033647281;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2020-11-05 11-11-11;S;C;RA;CR000000000304;1;;;1;33647281;22.16;;;;;;;;;;;;;;
CR000039980751;39980751;0;;PBO-SRO-BPI-11363897-021-4-CT-2536-7496-1;HU000013029985;IM00000000000000000000000ID-30117000001J;BL000008027990;;PTO00039980751;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-05-14 11-11-11;S;C;RA;CR000000000304;1;;;1;39980751;4.03;;;;;;;;;;;;;;
CR000090623101;90623101;0;;PBO-SRO-BPI-11363897-065-6-WI-B198-0760-1;CH000004313905;IM00000000000000000000000ID-30117000006M;BL000008028000;;PTO00090623101;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2024-02-22 11-11-11;S;C;RA;CR000000000304;1;;;1;90623101;60.16;;;;;;;;;;;;;;
CR000002682121;2682121;0;;PBO-SRO-BPI-11363897-005-2-CT-2536-7056-1;SU000000880765;IM00000000000000000000000ID-3011700000V4;BL000008027987;;PTO00002682121;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2022-11-16 11-11-11;E;C;RA;CR000000000304;1;;;1;2682121;112.13;;;;;;;;;;;;;;
CR000039919311;39919311;0;;BE-02-117749607-2-WI-2698-2076-1;IM00000000000000000000000ID-30117000001L;IM00000000000000000000000ID-30117000001L;BL000008255514;;PTO00039919311;;WIGA;ZN3010000266;ZS0000SRO-BPI-11363897;G657;PSIT0000000125;GSIT0000000140;CST;REC;2021-08-25 11-11-11;S;C;RA;CR000000000304;1;;;1;39919311;35;;;;;;;;;;;;;;
