fo_code;fo_cb_code;fo_nincab;fo_numtub;fo_nintub;fo_etat;fo_code_ext;fo_color;fo_reper;fo_proptyp;fo_comment;fo_creadat;fo_majdate;fo_majsrc;fo_abddate;fo_abdsrc
FOM00000000392;FI000016282508;10;2;4;OK;;;;;;;;;;
FOM00000000393;FI000016282500;11;2;5;OK;;;;;;;;;;
FOM00000000394;FI000016282507;11;2;5;OK;;;;;;;;;;
FOM00000000395;FI000016282509;11;2;5;OK;;;;;;;;;;
FOM00000000396;FI000016282503;11;2;5;OK;;;;;;;;;;
FOM00000000397;FI000016282552;11;2;5;OK;;;;;;;;;;
FOM00000000398;FI000016282502;11;2;5;OK;;;;;;;;;;
FOM00000000399;FI000016282501;11;2;5;OK;;;;;;;;;;
FOM00000000001;FI000016178983;133;12;1;OK;;;;;;;;;;
FOM00000000002;FI000016176358;133;12;1;OK;;;;;;;;;;
FOM00000000003;FI000016178983;134;12;2;OK;;;;;;;;;;
FOM00000000004;FI000016176358;134;12;2;OK;;;;;;;;;;
FOM00000000005;FI000016178983;135;12;3;OK;;;;;;;;;;
FOM00000000006;FI000016176358;135;12;3;OK;;;;;;;;;;
FOM00000000007;FI000016178983;136;12;4;OK;;;;;;;;;;
FOM00000000008;FI000016176358;136;12;4;OK;;;;;;;;;;
FOM00000000009;FI000016178983;137;12;5;OK;;;;;;;;;;
FOM00000000010;FI000016176358;137;12;5;OK;;;;;;;;;;
FOM00000000011;FI000016178983;138;12;6;OK;;;;;;;;;;
FOM00000000012;FI000016176358;138;12;6;OK;;;;;;;;;;
FOM00000000013;FI000016178983;139;12;7;OK;;;;;;;;;;
FOM00000000014;FI000016176358;139;12;7;OK;;;;;;;;;;
FOM00000000015;FI000016178983;140;12;8;OK;;;;;;;;;;
FOM00000000016;FI000016176358;140;12;8;OK;;;;;;;;;;
FOM00000000017;FI000016178983;141;12;9;OK;;;;;;;;;;
FOM00000000018;FI000016176358;141;12;9;OK;;;;;;;;;;
FOM00000000019;FI000016178983;142;12;10;OK;;;;;;;;;;
FOM00000000020;FI000016176358;142;12;10;OK;;;;;;;;;;
FOM00000000021;FI000016178983;143;12;11;OK;;;;;;;;;;
FOM00000000022;FI000016176358;143;12;11;OK;;;;;;;;;;
FOM00000000023;FI000016178983;144;12;12;OK;;;;;;;;;;
FOM00000000024;FI000016176358;144;12;12;OK;;;;;;;;;;
FOM00000000025;FI000016178983;1;1;1;OK;;;;;;;;;;
FOM00000000026;FI000016176358;1;1;1;OK;;;;;;;;;;
FOM00000000027;FI000016178983;2;1;2;OK;;;;;;;;;;
FOM00000000028;FI000016176358;2;1;2;OK;;;;;;;;;;
FOM00000000029;FI000016178983;3;1;3;OK;;;;;;;;;;
FOM00000000030;FI000016176358;3;1;3;OK;;;;;;;;;;
FOM00000000031;FI000016178983;4;1;4;OK;;;;;;;;;;
FOM00000000032;FI000016176358;4;1;4;OK;;;;;;;;;;
FOM00000000033;FI000016178983;5;1;5;OK;;;;;;;;;;
FOM00000000034;FI000016176358;5;1;5;OK;;;;;;;;;;
FOM00000000035;FI000016178983;6;1;6;OK;;;;;;;;;;
FOM00000000036;FI000016176358;6;1;6;OK;;;;;;;;;;
FOM00000000037;FI000016178983;7;1;7;OK;;;;;;;;;;
FOM00000000038;FI000016176358;7;1;7;OK;;;;;;;;;;
FOM00000000039;FI000016178983;8;1;8;OK;;;;;;;;;;
FOM00000000040;FI000016176358;8;1;8;OK;;;;;;;;;;
FOM00000000041;FI000016178983;9;1;9;OK;;;;;;;;;;
FOM00000000042;FI000016176358;9;1;9;OK;;;;;;;;;;
FOM00000000043;FI000016178983;10;1;10;OK;;;;;;;;;;
FOM00000000044;FI000016176358;10;1;10;OK;;;;;;;;;;
FOM00000000045;FI000016178983;11;1;11;OK;;;;;;;;;;
FOM00000000046;FI000016176358;11;1;11;OK;;;;;;;;;;
FOM00000000047;FI000016178983;12;1;12;OK;;;;;;;;;;
FOM00000000048;FI000016176358;12;1;12;OK;;;;;;;;;;
FOM00000000049;FI000016178983;13;2;1;OK;;;;;;;;;;
FOM00000000050;FI000016176358;13;2;1;OK;;;;;;;;;;
FOM00000000051;FI000016178983;14;2;2;OK;;;;;;;;;;
FOM00000000052;FI000016176358;14;2;2;OK;;;;;;;;;;
FOM00000000053;FI000016178983;15;2;3;OK;;;;;;;;;;
FOM00000000054;FI000016176358;15;2;3;OK;;;;;;;;;;
FOM00000000055;FI000016178983;16;2;4;OK;;;;;;;;;;
FOM00000000056;FI000016176358;16;2;4;OK;;;;;;;;;;
FOM00000000057;FI000016178983;17;2;5;OK;;;;;;;;;;
FOM00000000058;FI000016176358;17;2;5;OK;;;;;;;;;;
FOM00000000059;FI000016178983;18;2;6;OK;;;;;;;;;;
FOM00000000060;FI000016176358;18;2;6;OK;;;;;;;;;;
FOM00000000061;FI000016178983;19;2;7;OK;;;;;;;;;;
FOM00000000062;FI000016176358;19;2;7;OK;;;;;;;;;;
FOM00000000063;FI000016178983;20;2;8;OK;;;;;;;;;;
FOM00000000064;FI000016176358;20;2;8;OK;;;;;;;;;;
FOM00000000065;FI000016178983;21;2;9;OK;;;;;;;;;;
FOM00000000066;FI000016176358;21;2;9;OK;;;;;;;;;;
FOM00000000067;FI000016178983;22;2;10;OK;;;;;;;;;;
FOM00000000068;FI000016176358;22;2;10;OK;;;;;;;;;;
FOM00000000069;FI000016178983;23;2;11;OK;;;;;;;;;;
FOM00000000070;FI000016176358;23;2;11;OK;;;;;;;;;;
FOM00000000071;FI000016178983;24;2;12;OK;;;;;;;;;;
FOM00000000072;FI000016176358;24;2;12;OK;;;;;;;;;;
FOM00000000073;FI000016178983;25;3;1;OK;;;;;;;;;;
FOM00000000074;FI000016176358;25;3;1;OK;;;;;;;;;;
FOM00000000075;FI000016178983;26;3;2;OK;;;;;;;;;;
FOM00000000076;FI000016176358;26;3;2;OK;;;;;;;;;;
FOM00000000077;FI000016178983;27;3;3;OK;;;;;;;;;;
FOM00000000078;FI000016176358;27;3;3;OK;;;;;;;;;;
FOM00000000079;FI000016178983;28;3;4;OK;;;;;;;;;;
FOM00000000080;FI000016176358;28;3;4;OK;;;;;;;;;;
FOM00000000081;FI000016178983;29;3;5;OK;;;;;;;;;;
FOM00000000082;FI000016176358;29;3;5;OK;;;;;;;;;;
FOM00000000083;FI000016178983;30;3;6;OK;;;;;;;;;;
FOM00000000084;FI000016176358;30;3;6;OK;;;;;;;;;;
FOM00000000085;FI000016178983;31;3;7;OK;;;;;;;;;;
FOM00000000086;FI000016176358;31;3;7;OK;;;;;;;;;;
FOM00000000087;FI000016178983;32;3;8;OK;;;;;;;;;;
FOM00000000088;FI000016176358;32;3;8;OK;;;;;;;;;;
FOM00000000089;FI000016178983;33;3;9;OK;;;;;;;;;;
FOM00000000090;FI000016176358;33;3;9;OK;;;;;;;;;;
FOM00000000091;FI000016178983;34;3;10;OK;;;;;;;;;;
FOM00000000092;FI000016176358;34;3;10;OK;;;;;;;;;;
FOM00000000093;FI000016178983;35;3;11;OK;;;;;;;;;;
FOM00000000094;FI000016176358;35;3;11;OK;;;;;;;;;;
FOM00000000095;FI000016178983;36;3;12;OK;;;;;;;;;;
FOM00000000096;FI000016176358;36;3;12;OK;;;;;;;;;;
FOM00000000097;FI000016178983;37;4;1;OK;;;;;;;;;;
FOM00000000098;FI000016176358;37;4;1;OK;;;;;;;;;;
FOM00000000099;FI000016178983;38;4;2;OK;;;;;;;;;;
FOM00000000100;FI000016176358;38;4;2;OK;;;;;;;;;;
FOM00000000101;FI000016178983;39;4;3;OK;;;;;;;;;;
FOM00000000102;FI000016176358;39;4;3;OK;;;;;;;;;;
FOM00000000103;FI000016178983;40;4;4;OK;;;;;;;;;;
FOM00000000104;FI000016176358;40;4;4;OK;;;;;;;;;;
FOM00000000105;FI000016178983;41;4;5;OK;;;;;;;;;;
FOM00000000106;FI000016176358;41;4;5;OK;;;;;;;;;;
FOM00000000107;FI000016178983;42;4;6;OK;;;;;;;;;;
FOM00000000108;FI000016176358;42;4;6;OK;;;;;;;;;;
FOM00000000109;FI000016178983;43;4;7;OK;;;;;;;;;;
FOM00000000110;FI000016176358;43;4;7;OK;;;;;;;;;;
FOM00000000111;FI000016178983;44;4;8;OK;;;;;;;;;;
FOM00000000112;FI000016176358;44;4;8;OK;;;;;;;;;;
FOM00000000113;FI000016178983;45;4;9;OK;;;;;;;;;;
FOM00000000114;FI000016176358;45;4;9;OK;;;;;;;;;;
FOM00000000115;FI000016178983;46;4;10;OK;;;;;;;;;;
FOM00000000116;FI000016176358;46;4;10;OK;;;;;;;;;;
FOM00000000117;FI000016178983;47;4;11;OK;;;;;;;;;;
FOM00000000118;FI000016176358;47;4;11;OK;;;;;;;;;;
FOM00000000119;FI000016178983;48;4;12;OK;;;;;;;;;;
FOM00000000120;FI000016176358;48;4;12;OK;;;;;;;;;;
FOM00000000121;FI000016178983;49;5;1;OK;;;;;;;;;;
FOM00000000122;FI000016176358;49;5;1;OK;;;;;;;;;;
FOM00000000123;FI000016178983;50;5;2;OK;;;;;;;;;;
FOM00000000124;FI000016176358;50;5;2;OK;;;;;;;;;;
FOM00000000125;FI000016178983;51;5;3;OK;;;;;;;;;;
FOM00000000126;FI000016176358;51;5;3;OK;;;;;;;;;;
FOM00000000127;FI000016178983;52;5;4;OK;;;;;;;;;;
FOM00000000128;FI000016176358;52;5;4;OK;;;;;;;;;;
FOM00000000129;FI000016178983;53;5;5;OK;;;;;;;;;;
FOM00000000130;FI000016176358;53;5;5;OK;;;;;;;;;;
FOM00000000131;FI000016178983;54;5;6;OK;;;;;;;;;;
FOM00000000132;FI000016176358;54;5;6;OK;;;;;;;;;;
FOM00000000133;FI000016178983;55;5;7;OK;;;;;;;;;;
FOM00000000134;FI000016176358;55;5;7;OK;;;;;;;;;;
FOM00000000135;FI000016178983;56;5;8;OK;;;;;;;;;;
FOM00000000136;FI000016176358;56;5;8;OK;;;;;;;;;;
FOM00000000137;FI000016178983;57;5;9;OK;;;;;;;;;;
FOM00000000138;FI000016176358;57;5;9;OK;;;;;;;;;;
FOM00000000139;FI000016178983;58;5;10;OK;;;;;;;;;;
FOM00000000140;FI000016176358;58;5;10;OK;;;;;;;;;;
FOM00000000141;FI000016178983;59;5;11;OK;;;;;;;;;;
